//1.1
星期	xīngqī	주,요일	day of the week
星期一	xīngqīyī	월요일	monday
星期二	xīngqīèr	화요일	tuesday
星期三	xīngqīsān	수요일	wednesday
星期四	xīngqīsì	목요일	thursday
星期五	xīngqīwǔ	금요일	friday
星期六	xīngqīliù	토요일	saturday
星期天	xīngqītiān	일요일	sunday
上个星期	shànggexīngqī	지난주	last week
这个星期	zhègexīngqī	이번주	this week
下个星期	xiàgexīngqī	다음주	next week
上个月	shànggèyuè	지난달	last month
这个月	zhègeyuè	이번달	this month
下个月	xiàgèyuè	다음달	next month
前天	qiántiān	그저께	day before yesterday
昨天	zuótiān	어제	yesterday
今天	jīntiān	오늘	today
明天	míngtiān	내일	tommorow
后天	hòutiān	모레	day after tomorrow
前年	qiántiān	재작년	year before last year
去年	qùnián	작년	last year
今年	jīnnián	올해	this year
明年	míngtiān	내년	next year
后年	hòutiān	내후년	year after next year
生日	shēngrì	생일	birthday
到	dào	~까지	until
平日	píngrì	평일	weekday
和	hé	~와	and
周末	zhōumò	주말	weekend
//1.13
现在	xiànzài	지금	present, now
点	diǎn	시	hour
零	líng	0, 영	zero
分	fēn	분	minute
上班	shàngbān	출근하다	go to work
下班	xiàbān	퇴근하다	go to home
半	bàn	반, 절반	half
早上	zǎoshang	아침	early morning
上午	shàngwǔ	오전	morning
中午	zhōngwǔ	정오	noon
下午	xiàwǔ	오후	afternoon
晚上	wǎnshang	저녁	evening
起床	qǐchuáng	기상하다	wake up
早饭	zǎofàn	아침밥	breakfast
午饭	wǔfàn	점심밥	lunch
晚饭	wǎnfàn	저녁밥	dinner
刻	kè	15분	fifteen minutes, a quater
开会	kāihuì	회의하다	have a meeting
跑步	pǎobù	달리기를 하다	jog
差	chà	부족하다, 모자라다	lack
睡觉	shuìjiào	잠자다	sleep
上山	shàngshān	등산하다	climb a mountain
下山	xiàshān	하산하다	descend a mountain
上车	shàngchē	승차하다	get in, get on
下车	xiàchē	하차하다	get off
上课	shàngkè	수업하다	take the class
下课	xiàkè	수업을 마치다 finish the class
上学	shàngxué	등교하다	go to school
放学	fàngxué	하교하다	finish school
//1.14
多少	duōshao	얼마, 몇	how much
钱	qián	돈	money
块	kuài	위안(화폐단위)	unit of Chinese money, usually bill
一共	yígòng	모두, 합계	sum of all
香蕉	xiāngjiāo	바나나	banana
梨	lí	배	pear
西红柿	xīhóngshì	토마토	tomato
毛	máo	마오(화폐단위)	unit of Chinese money, usually coin
//1.15
去	qù	가다	go
怎么	zěnme	어떻게	how
学校	xuéxiào	학교	scool
坐	zuò	앉다,타다	sit, take
地铁	dìtiě	지하철	subway
开车	kāichē	운전하다	drive
公共汽车	gōnggòngqìchē	버스	bus
医院	yīyuàn	병원	hospital
出租车	chūzūchē	택시	taxi
机场	jīchǎng	공항	airport
骑	qí	올라타다	ride
//1.16
什么时候	shénmeshíhòu	언제	when
早	zǎo	일찍	early
一点儿	yìdiǎnr	조금	a bit
吧	ba	청유 어기조사	can you do me ~
白天	báitiān	낮,대낮	noon
走路	zǒulù	걷다	walk
飞机	fēijī	비행기	airplane
船	chuán	배	boat
回来	huílái	돌아오다	come back
回去	huíqù	돌아가다	
上来	shànglái	올라오다	
上去	shàngqù	올라가다
下来	xiàlái	내려오다
下去	xiàqù	내려가다
进来	jìnlái	들어오다
进去	jìnqù	들어가다
出来	chūlai	나오다
出去	chūqu	나가다
过来	guòlái	건너오다
过去	guòqù	건너가다
//2.1
住	zhù	살다,거주하다
前门	qiánmén	치엔먼
附近	fùjìn	부근,근처
口	kǒu	식구
大家庭	dàjiātíng	대가족
公园	gōngyuán	공원
药典	yàodiǎn	약국
车站	chēzhàn	정거장
银行	yínháng	은행
书店	shūdiàn	서점
超市	chāoshì	슈퍼마켓
对面	duìmiàn	맞은편
妻子	qīzi	아내
女儿	nǚ'ér	딸
儿子	érzi	아들
兄弟姐妹	xiōngdìjiěmèi	형제자매
//2.2
做	zuò	~하다
工作	gōngzuò	일,직업
生意	shēngyi	장사,영업
在	zài	~에(서)
教	jiāo	가르치다, 수업하다
家庭主妇	jiātíngzhǔfù	가정주부
学习	xuéxí	배우다,공부하다
学生	xuésheng	학생
司机	sījī	기사,운전사
散步	sànbù	산책하다
餐厅	cāntīng	식당
饭	fàn	밥,식사
咖啡厅	kāfēitīng	카페
//2.3
要	yào	~하려 하다
玩儿	wánr	놀다
东四医院	Dōngsìyīyuàn	동쓰병원
天安门	Tiān'ānmén	티엔안먼
北京	Běijīng	베이징
市	shì	시(행정구역 단위)
中心	zhōngxīn	중심,센터
长城	Chángchéng	창청, 만리장성
天坛	Tiāntán	티엔탄
颐和园	Yíhéyuán	이허위안
北边儿	běibiānr	북쪽
东北边儿	dōngběibiānr	북동쪽
东边儿	dōngbiānr	동쪽
